Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km)
SUBCOMPACT,6.0,12,AS8,Z,18.8,11.5,15.5,18,356
SUBCOMPACT,4.0,8,AS8,Z,17.4,10.2,14.2,20,332
SUBCOMPACT,6.0,12,AS8,Z,20.0,12.2,16.5,17,380
SUBCOMPACT,6.0,12,AS8,Z,20.0,12.2,16.5,17,380
MID-SIZE,6.0,12,AS8,Z,20.3,11.9,16.5,17,388
MID-SIZE,6.8,8,AS8,Z,22.3,14.9,19.0,15,437
COMPACT,2.0,4,A8,Z,10.0,6.5,8.4,34,193
COMPACT,2.0,4,M6,Z,10.4,6.7,8.7,32,200
COMPACT,2.0,4,A8,Z,10.2,7.0,8.8,32,202
COMPACT,2.0,4,A8,D,7.6,5.5,6.7,42,181
STATION WAGON - SMALL,2.0,4,A8,D,7.6,5.5,6.7,42,181
COMPACT,2.0,4,A8,Z,10.0,6.5,8.4,34,193
COMPACT,2.0,4,M6,Z,10.4,6.7,8.7,32,200
COMPACT,2.0,4,A8,Z,10.6,7.2,9.1,31,209
FULL-SIZE,2.0,4,A8,Z,10.6,7.2,9.1,31,209
STATION WAGON - SMALL,2.0,4,A8,Z,10.6,7.2,9.1,31,209
COMPACT,3.0,6,A8,Z,11.4,7.3,9.6,29,221
COMPACT,3.0,6,M6,Z,11.8,7.9,10.0,28,230
COMPACT,3.0,6,A8,Z,11.7,7.8,9.9,29,228
COMPACT,3.0,6,M6,Z,11.9,8.3,10.3,27,237
FULL-SIZE,3.0,6,A8,Z,11.9,8.0,10.1,28,232
COMPACT,2.0,4,A8,Z,10.0,6.5,8.4,34,193
COMPACT,2.0,4,M6,Z,10.4,6.7,8.7,32,200
COMPACT,2.0,4,A8,Z,10.6,7.2,9.1,31,209
COMPACT,3.0,6,A8,Z,11.4,7.3,9.6,29,221
COMPACT,3.0,6,M6,Z,11.8,7.9,10.0,28,230
COMPACT,3.0,6,A8,Z,11.7,7.8,9.9,29,228
COMPACT,3.0,6,M6,Z,11.9,8.3,10.3,27,237
MID-SIZE,2.0,4,A8,Z,10.2,7.0,8.8,32,202
MID-SIZE,2.0,4,A8,Z,10.6,7.2,9.1,31,209
MID-SIZE,3.0,6,A8,D,9.2,6.4,7.9,36,213
MID-SIZE,3.0,6,A8,Z,11.9,8.0,10.1,28,232
FULL-SIZE,3.0,6,A8,Z,12.5,8.6,10.7,26,246
MID-SIZE,4.4,8,A8,Z,14.4,9.6,12.2,23,281
FULL-SIZE,4.4,8,A8,Z,15.0,9.8,12.7,22,292
COMPACT,3.0,6,A8,Z,11.9,8.0,10.1,28,232
SUBCOMPACT,4.4,8,A8,Z,15.0,9.8,12.7,22,292
COMPACT,4.4,8,A8,Z,14.4,9.6,12.2,23,281
COMPACT,4.4,8,A8,Z,15.0,9.8,12.7,22,292
FULL-SIZE,3.0,6,A8,Z,12.5,8.6,10.7,26,246
FULL-SIZE,4.4,8,A8,Z,15.0,9.8,12.7,22,292
FULL-SIZE,4.4,8,A8,Z,15.0,9.8,12.7,22,292
FULL-SIZE,6.0,12,A8,Z,18.7,11.5,15.5,18,356
COMPACT,3.0,6,A8,Z,9.2,7.1,8.3,34,191
MID-SIZE,3.0,6,A8,Z,10.5,7.9,9.3,30,214
FULL-SIZE,3.0,6,A8,Z,10.5,7.6,9.2,31,212
FULL-SIZE,4.4,8,A8,Z,15.0,9.8,12.7,22,292
FULL-SIZE,4.4,8,A8,Z,15.0,9.8,12.7,22,292
MID-SIZE,4.4,8,AM7,Z,17.3,11.5,14.7,19,338
MID-SIZE,4.4,8,M6,Z,16.2,10.9,13.8,20,317
COMPACT,4.4,8,AM7,Z,17.3,11.5,14.7,19,338
COMPACT,4.4,8,M6,Z,16.2,10.9,13.8,20,317
SUBCOMPACT,4.4,8,AM7,Z,17.3,11.5,14.7,19,338
SUBCOMPACT,4.4,8,M6,Z,16.2,10.9,13.8,20,317
COMPACT,4.4,8,AM7,Z,17.3,11.5,14.7,19,338
COMPACT,4.4,8,M6,Z,16.2,10.9,13.8,20,317
SUV - SMALL,2.0,4,A8,Z,10.6,7.2,9.1,31,209
SUV - SMALL,3.0,6,A6,Z,13.2,8.9,11.3,25,260
SUV - SMALL,2.0,4,A8,Z,11.2,8.5,10.0,28,230
SUV - SMALL,3.0,6,A8,Z,12.6,9.1,11.0,26,253
SUV - STANDARD,3.0,6,A8,Z,12.9,8.8,11.1,25,255
SUV - STANDARD,4.4,8,A8,Z,16.3,10.9,13.9,20,320
SUV - STANDARD,4.4,8,A6,Z,18.1,13.7,16.1,18,370
SUV - STANDARD,3.0,6,A8,Z,13.6,9.8,11.9,24,274
SUV - STANDARD,4.4,8,A8,Z,16.4,11.3,14.1,20,324
TWO-SEATER,2.0,4,A8,Z,10.8,7.1,9.1,31,209
TWO-SEATER,2.0,4,M6,Z,10.4,6.7,8.7,32,200
TWO-SEATER,3.0,6,AM7,Z,13.7,10.1,12.1,23,278
TWO-SEATER,3.0,6,M6,Z,12.7,9.0,11.0,26,253
TWO-SEATER,3.0,6,AM7,Z,13.7,10.1,12.1,23,278
SUV - STANDARD,3.6,6,A6,X,14.3,9.9,12.3,23,283
SUV - STANDARD,3.6,6,A6,X,14.6,10.2,12.6,22,290
SUV - SMALL,1.4,4,AS6,X,9.5,7.2,8.5,33,196
SUV - SMALL,1.4,4,AS6,X,10.2,8.0,9.2,31,212
MID-SIZE,3.6,6,AS6,X,13.7,8.7,11.5,25,264
MID-SIZE,3.6,6,AS6,E,18.4,12.2,15.6,18,250
MID-SIZE,3.6,6,AS6,X,13.7,8.9,11.5,25,264
MID-SIZE,3.6,6,AS6,E,19.4,13.0,16.5,17,264
MID-SIZE,2.4,4,AS6,X,9.6,6.5,8.2,34,189
MID-SIZE,2.0,4,AS6,Z,11.5,7.9,9.9,29,228
MID-SIZE,2.0,4,M6,Z,11.6,7.5,9.8,29,225
MID-SIZE,2.0,4,AS6,Z,12.3,8.7,10.7,26,246
MID-SIZE,2.4,4,AS6,X,9.6,6.5,8.2,34,189
COMPACT,2.0,4,AS6,Z,11.5,7.9,9.9,29,228
COMPACT,2.0,4,M6,Z,11.6,7.5,9.8,29,225
COMPACT,2.4,4,AS6,X,11.3,7.4,9.5,30,218
COMPACT,2.0,4,AS6,Z,11.3,7.5,9.6,29,221
COMPACT,2.0,4,M6,Z,12.1,7.9,10.2,28,235
COMPACT,2.5,4,AS6,X,10.5,7.2,9.0,31,207
COMPACT,3.6,6,AS6,X,12.8,8.5,10.9,26,251
COMPACT,2.0,4,AS6,Z,11.8,8.1,10.1,28,232
COMPACT,3.6,6,AS6,X,13.1,9.0,11.3,25,260
MID-SIZE,3.6,6,AS6,X,13.2,8.7,11.2,25,258
MID-SIZE,3.6,6,AS6,X,13.3,9.0,11.4,25,262
MID-SIZE,2.0,4,AS6,Z,11.9,7.9,10.1,28,232
MID-SIZE,3.6,6,AS8,X,12.9,8.2,10.8,26,248
MID-SIZE,2.0,4,AS6,Z,12.6,8.5,10.8,26,248
MID-SIZE,3.6,6,AS6,X,13.1,9.0,11.3,25,260
MID-SIZE,3.6,6,AS8,Z,15.1,9.9,12.8,22,294
STATION WAGON - SMALL,3.0,6,AS6,X,12.7,8.9,11.0,26,253
STATION WAGON - SMALL,3.6,6,AS6,X,13.3,8.9,11.3,25,260
STATION WAGON - SMALL,3.0,6,AS6,X,12.8,9.1,11.1,25,255
STATION WAGON - SMALL,3.6,6,AS6,X,13.3,9.0,11.4,25,262
MID-SIZE,6.2,8,AS6,Z,19.7,12.9,16.6,17,382
MID-SIZE,6.2,8,M6,Z,16.7,12.5,14.8,19,340
MID-SIZE,6.2,8,AS6,Z,19.7,12.9,16.6,17,382
MID-SIZE,6.2,8,M6,Z,16.7,12.5,14.8,19,340
STATION WAGON - SMALL,6.2,8,AS6,Z,19.7,12.9,16.6,17,382
STATION WAGON - SMALL,6.2,8,M6,Z,16.7,12.5,14.8,19,340
SUV - STANDARD,6.2,8,A6,Z,17.0,11.8,14.7,19,338
SUV - STANDARD,6.2,8,A6,E,23.3,16.1,20.1,14,322
SUV - STANDARD,6.2,8,A6,Z,18.8,13.4,16.4,17,377
SUV - STANDARD,6.2,8,A6,E,25.7,17.8,22.1,13,354
SUV - STANDARD,3.6,6,AS6,X,14.3,9.8,12.3,23,283
SUV - STANDARD,3.6,6,AS6,X,14.8,10.4,12.8,22,294
FULL-SIZE,3.6,6,AS6,X,13.6,8.6,11.4,25,262
FULL-SIZE,3.6,6,AS6,X,14.0,9.1,11.8,24,271
FULL-SIZE,3.6,6,AS6,Z,14.8,9.8,12.6,22,290
COMPACT,3.6,6,AS6,X,13.2,8.7,11.2,25,258
COMPACT,3.6,6,M6,X,14.2,8.6,11.7,24,269
COMPACT,3.6,6,AS6,X,12.7,7.9,10.5,27,242
COMPACT,6.2,8,AS6,Z,15.3,9.8,12.8,22,294
COMPACT,6.2,8,M6,Z,15.0,9.9,12.7,22,292
COMPACT,6.2,8,AS6,Z,19.7,12.9,16.6,17,382
COMPACT,6.2,8,M6,Z,16.7,12.5,14.8,19,340
TWO-SEATER,6.2,8,AS6,Z,14.9,8.5,12.0,24,276
TWO-SEATER,6.2,8,M7,Z,13.7,8.2,11.2,25,258
MID-SIZE,1.4,4,AS6,X,9.1,6.3,7.8,36,179
MID-SIZE,1.4,4,M6,X,9.1,6.3,7.8,36,179
MID-SIZE,1.8,4,AS6,X,10.5,6.7,8.8,32,202
MID-SIZE,1.8,4,M6,X,9.5,6.5,8.2,34,189
MID-SIZE,2.0,4,AS6,D,8.7,5.1,7.1,40,192
MID-SIZE,1.4,4,A6,X,9.1,6.0,7.7,37,177
MID-SIZE,1.4,4,M6,X,8.4,5.6,7.1,40,163
SUV - SMALL,2.4,4,A6,X,10.5,7.3,9.1,31,209
SUV - SMALL,3.6,6,A6,X,13.9,9.6,12.0,24,276
SUV - SMALL,3.6,6,A6,E,18.8,13.1,16.2,17,259
SUV - SMALL,2.4,4,A6,X,11.5,8.2,10.0,28,230
SUV - SMALL,3.6,6,A6,X,14.8,9.9,12.6,22,290
SUV - SMALL,3.6,6,A6,E,19.8,13.6,17.0,17,272
VAN - CARGO,4.3,6,A4,X,17.1,12.7,15.1,19,347
VAN - CARGO,5.3,8,A4,X,18.0,13.4,15.9,18,366
VAN - CARGO,5.3,8,A4,E,23.5,17.7,20.9,14,334
VAN - CARGO,5.3,8,A4,X,18.3,14.2,16.5,17,380
VAN - CARGO,5.3,8,A4,E,23.7,18.8,21.5,13,344
VAN - CARGO,5.3,8,A4,X,18.6,13.9,16.5,17,380
VAN - CARGO,5.3,8,A4,E,23.9,18.5,21.5,13,344
VAN - CARGO,5.3,8,A4,X,18.3,14.2,16.5,17,380
VAN - CARGO,5.3,8,A4,E,25.3,19.3,22.6,12,362
VAN - PASSENGER,5.3,8,A4,X,18.6,13.9,16.5,17,380
VAN - PASSENGER,5.3,8,A4,E,23.9,18.5,21.5,13,344
VAN - PASSENGER,5.3,8,A4,X,18.3,14.2,16.5,17,380
VAN - PASSENGER,5.3,8,A4,E,25.3,19.3,22.6,12,362
VAN - PASSENGER,4.8,8,A6,X,21.1,14.2,18.0,16,414
VAN - PASSENGER,6.0,8,A6,X,21.9,15.0,18.8,15,432
VAN - PASSENGER,6.0,8,A6,E,30.0,20.4,25.7,11,411
VAN - PASSENGER,4.8,8,A6,X,21.3,14.3,18.2,16,419
VAN - PASSENGER,6.0,8,A6,X,22.1,15.0,18.9,15,435
VAN - PASSENGER,6.0,8,A6,E,30.2,20.5,25.8,11,413
FULL-SIZE,2.5,4,AS6,X,11.3,7.5,9.6,29,221
FULL-SIZE,3.6,6,AS6,X,12.6,8.2,10.6,27,244
FULL-SIZE,3.6,6,AS6,E,16.7,11.3,14.3,20,229
FULL-SIZE,2.4,4,AS6,X,10.0,7.0,8.7,32,200
MID-SIZE,2.0,4,AS6,Z,11.5,7.9,9.9,29,228
MID-SIZE,2.5,4,AS6,X,9.3,6.4,8.0,35,184
SUV - SMALL,2.4,4,AS6,X,12.2,8.6,10.6,27,244
SUV - SMALL,2.4,4,M6,X,11.8,8.3,10.2,28,235
PICKUP TRUCK - STANDARD,4.3,6,A6,X,13.4,9.9,11.8,24,271
PICKUP TRUCK - STANDARD,4.3,6,A6,E,18.9,14.2,16.8,17,269
PICKUP TRUCK - STANDARD,5.3,8,A6,X,14.6,10.3,12.7,22,292
PICKUP TRUCK - STANDARD,5.3,8,A6,E,19.5,13.7,16.9,17,270
PICKUP TRUCK - STANDARD,6.2,8,A6,Z,16.3,11.4,14.1,20,324
PICKUP TRUCK - STANDARD,4.3,6,A6,X,14.2,10.6,12.6,22,290
PICKUP TRUCK - STANDARD,4.3,6,A6,E,20.0,15.1,17.8,16,285
PICKUP TRUCK - STANDARD,5.3,8,A6,X,14.9,10.6,13.0,22,299
PICKUP TRUCK - STANDARD,5.3,8,A6,E,19.9,14.2,17.3,16,277
PICKUP TRUCK - STANDARD,6.2,8,A6,Z,16.4,11.7,14.3,20,329
COMPACT,1.4,4,AS6,X,9.1,6.7,8.0,35,184
COMPACT,1.4,4,M6,X,8.5,6.2,7.5,38,173
COMPACT,1.8,4,AS6,X,9.6,6.6,8.3,34,191
COMPACT,1.8,4,M5,X,8.9,6.7,7.9,36,182
COMPACT,1.4,4,AS6,X,9.4,7.0,8.3,34,191
COMPACT,1.4,4,M6,X,8.8,7.0,8.0,35,184
MID-SIZE,1.4,4,AS6,X,9.1,6.7,8.0,35,184
MID-SIZE,1.4,4,M6,X,8.5,6.2,7.5,38,172
MID-SIZE,1.8,4,AS6,X,9.6,6.6,8.3,34,191
MID-SIZE,1.8,4,M5,X,8.9,6.7,7.9,36,182
MID-SIZE,1.4,4,AS6,X,9.4,7.0,8.3,34,191
MID-SIZE,1.4,4,M6,X,8.8,7.0,8.0,35,184
SUBCOMPACT,1.2,4,AV,X,7.7,6.0,6.9,41,159
SUBCOMPACT,1.2,4,M5,X,7.6,6.0,6.9,41,159
SUV - STANDARD,5.3,8,A6,X,16.0,11.1,13.8,20,317
SUV - STANDARD,5.3,8,A6,E,21.5,14.6,18.4,15,294
SUV - STANDARD,5.3,8,A6,X,16.0,11.1,13.8,20,317
SUV - STANDARD,5.3,8,A6,E,21.5,14.6,18.4,15,294
SUV - STANDARD,5.3,8,A6,X,16.0,11.1,13.8,20,317
SUV - STANDARD,5.3,8,A6,E,21.5,14.6,18.4,15,294
SUV - STANDARD,5.3,8,A6,X,16.0,11.1,13.8,20,317
SUV - STANDARD,5.3,8,A6,E,21.5,14.6,18.4,15,294
SUV - STANDARD,3.6,6,A6,X,14.3,9.9,12.3,23,283
SUV - STANDARD,3.6,6,A6,X,14.6,10.2,12.6,22,290
SUV - SMALL,1.4,4,AS6,X,9.4,7.1,8.4,34,193
SUV - SMALL,1.4,4,M6,X,9.1,6.8,8.1,35,186
SUV - SMALL,1.4,4,AS6,X,10.0,7.8,9.0,31,207
FULL-SIZE,3.6,6,A8,X,12.4,7.7,10.3,27,237
COMPACT,2.4,4,A4,X,11.7,8.2,10.1,28,232
COMPACT,2.4,4,A6,X,12.9,8.1,10.7,26,246
COMPACT,3.6,6,A6,X,12.5,8.1,10.5,27,242
COMPACT,3.6,6,A6,E,17.0,11.2,14.4,20,230
MID-SIZE,2.4,4,A4,X,11.2,8.0,9.8,29,225
MID-SIZE,2.4,4,A6,X,12.0,7.6,10.0,28,230
MID-SIZE,3.6,6,A6,X,12.5,8.1,10.5,27,242
MID-SIZE,3.6,6,A6,E,17.0,11.2,14.4,20,230
FULL-SIZE,5.7,8,A5,X,15.8,9.2,12.8,22,294
FULL-SIZE,3.6,6,A8,X,12.8,8.6,10.9,26,251
FULL-SIZE,5.7,8,A5,X,16.1,10.0,13.4,21,308
FULL-SIZE,3.6,6,A8,X,12.8,8.6,10.9,26,251
FULL-SIZE,3.6,6,A8,E,17.3,11.7,14.8,19,237
FULL-SIZE,3.6,6,A8,X,12.4,7.7,10.3,27,237
FULL-SIZE,3.6,6,A8,E,16.8,10.3,13.9,20,222
FULL-SIZE,6.4,8,A5,Z,16.7,10.3,13.8,20,317
MINIVAN,3.6,6,A6,X,14.1,9.5,12.0,24,276
MINIVAN,3.6,6,A6,E,19.7,13.3,16.8,17,269
MID-SIZE,2.4,4,A4,X,11.2,8.0,9.8,29,225
MID-SIZE,2.4,4,A6,X,12.0,7.6,10.0,28,230
MID-SIZE,3.6,6,A6,X,12.5,8.1,10.5,27,242
MID-SIZE,3.6,6,A6,E,17.0,11.2,14.4,20,230
MID-SIZE,3.6,6,A5,X,13.2,8.7,11.2,25,258
MID-SIZE,5.7,8,M6,X,15.6,10.0,13.1,22,301
MID-SIZE,5.7,8,A5,X,15.8,9.2,12.8,22,294
MID-SIZE,6.4,8,M6,Z,16.8,10.4,13.9,20,320
MID-SIZE,6.4,8,A5,Z,16.7,10.3,13.8,20,317
FULL-SIZE,3.6,6,A5,X,13.2,8.7,11.2,25,258
FULL-SIZE,3.6,6,A8,X,12.4,7.7,10.3,27,237
FULL-SIZE,5.7,8,A5,X,15.8,9.2,12.8,22,294
FULL-SIZE,3.6,6,A8,X,12.8,8.6,10.9,26,251
FULL-SIZE,5.7,8,A5,X,16.1,10.0,13.4,21,308
FULL-SIZE,3.6,6,A8,X,12.8,8.6,10.9,26,251
FULL-SIZE,3.6,6,A8,E,17.3,11.7,14.8,19,237
FULL-SIZE,3.6,6,A5,X,13.2,8.7,11.2,25,258
FULL-SIZE,3.6,6,A5,E,18.3,12.6,15.7,18,251
FULL-SIZE,3.6,6,A8,X,12.3,7.6,10.2,28,235
FULL-SIZE,3.6,6,A8,E,16.8,10.3,13.9,20,222
FULL-SIZE,6.4,8,A5,Z,16.7,10.3,13.8,20,317
MID-SIZE,2.0,4,M6,X,9.4,6.5,8.1,35,186
MID-SIZE,2.4,4,A6,X,10.1,6.8,8.6,33,198
MID-SIZE,2.4,4,M6,X,10.5,6.7,8.8,32,202
MID-SIZE,2.0,4,A6,X,9.9,7.0,8.6,33,198
MID-SIZE,2.0,4,A6,E,14.2,9.8,12.2,23,195
MID-SIZE,2.4,4,A6,X,10.6,7.5,9.2,31,212
MID-SIZE,2.4,4,M6,X,10.2,7.0,8.8,32,202
MID-SIZE,1.4,4,AM6,X,8.4,5.9,7.3,39,168
MID-SIZE,1.4,4,M6,X,8.5,5.8,7.3,39,168
SUV - STANDARD,5.7,8,A8,X,17.3,10.8,14.4,20,331
SUV - STANDARD,3.6,6,A8,X,13.9,9.8,12.1,23,278
SUV - STANDARD,3.6,6,A8,E,17.7,13.0,15.6,18,250
MINIVAN,3.6,6,A6,X,13.7,9.4,11.8,24,271
MINIVAN,3.6,6,A6,E,19.2,13.1,16.5,17,264
SUV - SMALL,2.4,4,A4,X,12.7,9.1,11.1,25,255
SUV - SMALL,3.6,6,A6,X,14.5,9.9,12.4,23,285
SUV - SMALL,3.6,6,A6,X,14.2,9.4,12.0,24,276
SUV - SMALL,3.6,6,A6,E,18.9,12.9,16.2,17,259
MINICOMPACT,1.4,4,M5,X,8.5,6.9,7.8,36,179
MINICOMPACT,1.4,4,M5,X,8.5,6.9,7.8,36,179
MINICOMPACT,1.4,4,A6,X,8.7,6.9,7.9,36,182
MINICOMPACT,1.4,4,M5,X,7.9,6.3,7.2,39,166
MINICOMPACT,1.4,4,M5,X,8.5,6.9,7.8,36,179
MINICOMPACT,1.4,4,A6,X,8.7,6.9,7.9,36,182
MINICOMPACT,1.4,4,M5,X,7.6,5.9,6.8,42,156
MINICOMPACT,1.4,4,M5,X,8.5,6.9,7.8,36,179
STATION WAGON - SMALL,1.4,4,AM6,X,10.0,7.2,8.7,32,200
STATION WAGON - SMALL,1.4,4,M6,X,9.3,7.2,8.4,34,193
FULL-SIZE,2.0,4,AV,X,5.6,6.4,6.0,47,138
VAN - CARGO,4.6,8,A4,X,17.7,14.4,16.2,17,373
VAN - CARGO,4.6,8,A4,E,24.1,19.2,21.9,13,350
VAN - CARGO,5.4,8,A4,X,19.3,14.7,17.2,16,396
VAN - CARGO,5.4,8,A4,E,24.9,19.6,22.5,13,360
VAN - PASSENGER,4.6,8,A4,X,18.6,14.6,16.8,17,386
VAN - PASSENGER,4.6,8,A4,E,25.5,20.0,23.0,12,368
VAN - PASSENGER,6.8,10,A5,X,23.9,17.8,21.2,13,488
VAN - PASSENGER,5.4,8,A4,X,20.6,15.5,18.3,15,421
VAN - PASSENGER,5.4,8,A4,E,26.7,20.5,23.9,12,382
SUV - SMALL,2.0,4,A6,X,11.3,7.9,9.8,29,225
SUV - SMALL,3.5,6,AS6,X,12.6,8.7,10.8,26,248
SUV - SMALL,3.5,6,AS6,X,13.3,9.3,11.5,25,264
SUV - SMALL,3.7,6,AS6,X,13.7,10.4,12.2,23,281
SUV - SMALL,1.6,4,AS6,X,10.4,7.4,9.1,31,209
SUV - SMALL,2.0,4,AS6,X,10.9,8.0,9.6,29,221
SUV - SMALL,2.5,4,AS6,X,10.9,7.5,9.4,30,216
SUV - SMALL,1.6,4,AS6,X,10.5,7.9,9.3,30,214
SUV - SMALL,2.0,4,AS6,X,11.2,8.5,10.0,28,230
SUV - STANDARD,5.4,8,A6,X,18.2,13.3,16.0,18,368
SUV - STANDARD,5.4,8,A6,E,24.5,18.0,21.6,13,346
SUV - STANDARD,2.0,4,A6,X,11.8,8.3,10.2,28,235
SUV - STANDARD,3.5,6,AS6,X,14.8,10.7,13.0,22,299
SUV - STANDARD,3.5,6,AS6,X,13.7,9.7,11.9,24,274
SUV - STANDARD,3.5,6,AS6,E,18.3,12.9,15.9,18,254
SUV - STANDARD,3.5,6,AS6,X,14.3,10.3,12.5,23,288
SUV - STANDARD,3.5,6,AS6,E,18.9,13.9,16.7,17,267
PICKUP TRUCK - STANDARD,3.5,6,A6,X,14.5,10.6,12.7,22,292
PICKUP TRUCK - STANDARD,3.5,6,AS6,X,14.6,10.6,12.8,22,294
PICKUP TRUCK - STANDARD,6.2,8,AS6,X,18.3,12.9,15.9,18,366
PICKUP TRUCK - STANDARD,3.5,6,A6,X,15.9,11.3,13.8,20,317
PICKUP TRUCK - STANDARD,3.5,6,AS6,X,15.4,11.0,13.4,21,308
